,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
228,21.0,7.15,7.55,1.65,1165.0,1.55,700.0,2330.0,131.5,1
229,22.5,6.7,7.3,1.3,307.5,0.8,180.9,615.0,151.5,1
230,24.0,7.55,7.3,1.75,1255.0,1.45,900.0,2510.0,162.0,1
231,25.0,7.35,7.7,1.8,1275.0,1.7,930.0,2550.0,128.0,1
232,26.0,5.9,7.75,1.4,1255.0,1.15,550.9,2510.0,136.0,1
233,27.0,7.8,7.9,1.55,1375.0,1.45,930.0,2750.0,124.0,1
234,27.0,7.7,7.55,1.7,700.0,2.0,515.0,1400.0,123.0,1
235,24.5,7.8,7.5,1.75,880.0,1.55,700.0,1760.0,127.0,1
236,29.0,5.75,7.6,1.55,1400.0,1.2,1150.0,2800.0,140.5,1
237,21.5,5.0,7.75,2.0,675.45,1.4,460.9,1350.9,131.5,1
238,23.0,7.55,7.6,1.6,1055.0,1.15,750.0,2110.0,106.0,0
239,25.5,6.8,7.05,1.95,950.0,1.3,900.0,1900.0,52.0,0
240,22.0,4.75,7.35,3.65,2305.0,1.7,1360.0,4610.0,188.0,1
241,24.5,6.95,7.35,1.35,450.0,1.75,515.0,900.0,171.0,1
242,24.0,6.7,7.15,1.35,600.0,1.05,605.0,1200.0,183.0,1
243,23.0,7.0,7.4,1.3,425.0,1.0,330.0,850.0,125.5,1
244,29.5,4.45,7.15,1.95,3590.0,1.35,330.0,7180.0,31.5,0
245,23.5,5.9,7.15,1.65,450.0,1.7,515.0,900.0,166.5,1
246,23.0,7.4,7.4,2.05,790.0,1.45,515.0,1580.0,118.5,0
247,25.0,4.45,5.7,1.7,402.5,1.3,330.0,805.0,163.0,1
248,24.0,5.9,7.75,1.8,1057.5,1.25,1150.0,2115.0,89.0,0
249,22.0,2.3,6.7,2.3,1400.0,1.5,730.0,2800.0,132.0,1
250,26.0,6.25,7.3,3.1,1150.0,2.8,930.0,2300.0,126.5,1
251,29.0,5.3,7.3,2.05,950.0,1.55,900.0,1900.0,115.5,0
252,22.5,5.45,7.15,2.1,650.0,1.3,545.0,1300.0,96.0,0
253,23.5,5.5,6.95,2.05,1225.0,1.2,545.0,2450.0,117.0,0
254,26.0,6.45,7.4,2.0,350.0,1.55,535.0,700.0,149.5,1
